Date,Rank,Member,Points,Joined Date,Color
2025-06-27,1st,KoolKid6958,2755729264,"December 19th, 2023",#152614
2025-06-27,2nd,somasimple,369984234,"September 5th, 2023",#b10b5b
2025-06-27,3rd,Wildbill,198921578,"September 8th, 2023",#0e9d6f
2025-06-27,4th,lxne,186849399,"August 31st, 2023",#c1d64c
2025-06-27,5th,lukemcc,149407961,"April 18th, 2025",#286b52
2025-06-27,6th,dovewars,141433461,"September 3rd, 2023",#c91326
2025-06-27,7th,Godhand,129303228,"September 23rd, 2024",#9607f5
2025-06-27,8th,Mystixxz,123556199,"October 12th, 2024",#92c875
2025-06-27,9th,pixelfx,87221226,"October 20th, 2024",#ad50b6
2025-06-27,10th,monil123,70532692,"January 7th, 2025",#f9a433
2025-06-27,11th,KatohSora2,59191861,"January 3rd, 2025",#c1ddf7
2025-06-27,12th,Ginnypig,43825125,"September 1st, 2023",#b04f27
2025-06-27,13th,sprogis,42961717,"April 25th, 2025",#f7d739
2025-06-27,14th,greenboxer,32594807,"February 16th, 2025",#de4683
2025-06-27,15th,Ednyan,27468620,"May 8th, 2025",#7f7b08
2025-06-27,16th,Ahmad4987,19248229,"August 14th, 2024",#97f943
2025-06-27,17th,Bbob,11954569,"June 16th, 2025",#f7da0b
2025-06-27,18th,slingshotato,10997303,"February 4th, 2025",#13ede8
2025-06-27,19th,buddhapundit,10827967,"April 13th, 2025",#6fa452
2025-06-27,20th,Pigmej,7935455,"June 11th, 2025",#58464f
2025-06-27,21st,Danycool,7721944,"April 29th, 2025",#e1bae6
2025-06-27,22nd,ibrahimessam101,6723196,"May 27th, 2025",#886f71
2025-06-27,23rd,metatomato,6298575,"June 15th, 2025",#24cdfb
2025-06-27,24th,Mikurochi,5233540,"June 5th, 2025",#9bd4a1
2025-06-27,25th,posh_sugioka,2773609,"June 12th, 2025",#fe2d07
2025-06-27,26th,gNeric,2253287,"June 25th, 2025",#5dea76
2025-06-27,27th,akshituwu,1042897,"June 18th, 2025",#ad72b3
2025-06-27,28th,udgajjar,544718,"June 22nd, 2025",#4043f8
2025-06-27,29th,binyam,312792,"June 7th, 2025",#8b7945
